"vesselID_randomized","year","cpue_pred","year.SZ","diesel_volume","diesel_usd","days","fishers","simpson.div","richness","beta.bray","fishing.area.km2","median.latitude","median.longitude","boatsize","boatpower","income","income_perday","income_perkg","revenue_per_fisher_perday","revenue_per_fisher_perday_perkg","cpue_obs","cpue_base","cpue_diff"
67,"2011",28.3346657550831,"2011.451",0.170938508272805,166.451602519781,3.66666666666667,3,0,1,0.666770347330223,1711.2,-4.61666666666667,55.8166666666667,7,25,3130.53743615071,872.129425823004,32.2182240427174,269.677708037555,1.74142172912189,27.0694444444444,60.7219713020349,-32.3873055469518
67,"2012",25.3240057431258,"2012.451",0.232942228981338,228.283384401711,3,3.14814814814815,0.117147049415145,1.625,0.753422936816983,5133.6,-4.40555555555556,55.6611111111111,7,25,3203.80196192951,1039.2175011717,30.0492347658518,404.862340452034,1.21946488087962,32.1041666666667,60.7219713020349,-35.397965558909
67,"2013",31.7727133678538,"2013.451",0.219917703028664,244.301746339395,4,3,0.113686200378072,1.5,0.655601965343462,1711.2,-4.31666666666667,55.35,7,25,4556.89141158823,1199.38952262617,37.7183112725594,91.7340400972133,0.896360601539169,32.3058333333333,60.7219713020349,-28.9492579341811
67,"2014",37.4872306113433,"2014.451",NA,NA,NA,NA,NA,NA,NA,3080.16,-4.5462962962963,55.4907407407407,7,25,NA,NA,NA,NA,NA,NA,60.7219713020349,-23.2347406906916
67,"2015",43.4589181677258,"2015.451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,25,NA,NA,NA,NA,NA,NA,60.7219713020349,-17.263053134309
67,"2016",51.3325323953685,"2016.451",0.506632997643989,219.979370494132,4,3.03703703703704,0.548439427992884,4,0.372722252898951,NA,NA,NA,7,25,11234.8350000266,3122.54423956059,50.1424719240396,178.399163803915,1.72089225534323,60.3666666666667,60.7219713020349,-9.38943890666636
81,"2006",54.9963788668887,"2006.454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.144,43,NA,NA,NA,NA,NA,NA,59.0171074987789,-4.0207286318902
81,"2007",63.4293916571495,"2007.454",0.0653088525583224,40.2764472423703,2,3.06666666666667,0,1,1,NA,NA,NA,9.144,43,1743.44754820027,871.723774100134,26.3360656827835,657.009258905715,3.6026341876238,33.1,59.0171074987789,4.41228415837065
81,"2008",86.6683189893421,"2008.454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.144,43,NA,NA,NA,NA,NA,NA,59.0171074987789,27.6512114905632
81,"2009",116.693298031249,"2009.454",0.222107877796246,167.691447736165,3,3.0625,0.371703245042893,3,0.942689256465577,1368.96,-3.91666666666667,56.0833333333333,9.144,43,6889.39840253553,2296.46613417851,14.9671918369227,671.762817488057,3.57248316913437,153.433333333333,59.0171074987789,57.67619053247
81,"2010",134.650319088588,"2010.454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.144,43,NA,NA,NA,NA,NA,NA,59.0171074987789,75.6332115898095
81,"2011",136.541907384895,"2011.454",0.174701361680387,169.605131065427,2.75,3,0.604025558350351,4,0.758474329902901,1711.2,-4.28333333333333,56.15,9.144,43,6853.21076995695,2900.70099366479,20.1907538332839,603.265700347575,3.69346347151577,142.958333333333,59.0171074987789,77.5247998861163
81,"2012",156.505586999922,"2012.454",0.269231086871488,263.846465134058,2.83333333333333,3,0.654724627447788,5.5,0.7788988181032,3422.4,-4.16666666666667,56.1166666666667,9.144,43,8126.64559392678,3108.82353994409,23.104917711497,370.143545373367,1.81847530473321,143,59.0171074987789,97.4884795011428
81,"2013",188.964021079649,"2013.454",0.213584745407203,230.673841085875,2,6,0.379830237809092,3.375,0.877641476142066,3764.64,-4.15909090909091,56.0227272727273,9.144,43,7732.12983644879,5927.5422830927,19.8681984499237,416.682075982666,1.23234968645057,283.055416666667,59.0171074987789,129.946913580871
81,"2014",176.957301337608,"2014.454",0.257290104675728,267.257400219855,2.6,4,0.555672131898665,4.73333333333333,0.885699052618628,1711.2,-4.18333333333333,56.1833333333333,9.144,43,12476.1174925994,5035.52740454613,34.380785681366,128.326718617187,1.9529942772566,161.572666666667,59.0171074987789,117.940193838829
57,"2007",67.5105921384203,"2007.545",0.0781942947698046,66.9203459708438,3,4,0.172800045396199,2.33333333333333,0.465437788018433,4449.12,-4.45512820512821,55.5961538461538,7,24,4409.17742285318,1469.72580761773,25.8067258274041,202.701047469594,3.34785646502345,56.5555555555556,105.781472427042,-38.2708802886219
57,"2008",65.4193530875115,"2008.545",0.0978546662588361,98.3004272823233,3.16666666666667,2.33333333333333,0.0542320928869489,1.66666666666667,0.741743364298915,NA,NA,NA,7,24,6164.25954602014,2715.99910469398,26.0670918427168,342.797522233199,5.22062528780946,103.541666666667,105.781472427042,-40.3621193395307
57,"2009",73.207707295387,"2009.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,NA,NA,NA,NA,NA,NA,105.781472427042,-32.5737651316552
57,"2010",97.0073354095593,"2010.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,NA,NA,NA,NA,NA,NA,105.781472427042,-8.77413701748289
